sap_id,name,branch_id,store_type,operational_date,address,latitude,longitude,phone,zipcode
3168,UNIT BISNIS AMBON,1,NONE,1/1/1950,,0,0,0,
CP01,KF Urimesing Ambon,1,BASIC_HEALTH,1/5/2024,Jl. Diponegoro no.66 Ahusen Si,-3.700658,128.182242,82197621522,97127
CP02,KF Passo,1,MEDICAL,1/5/2024,Jl. Wolter MongonsidiPassoTelu,-3.633571,128.249721,82197606584,97232
3102,UNIT BISNIS BALIKPAPAN,2,NONE,1/1/1950,,0,0,0,
AB01,KF.0056,2,BASIC_HEALTH,3/1/2019,Jl. Jend. Achmad Yani No. 95 Gunung Sari,-1.2635322,116.8360475,08115961954,76121
AB02,KF.0068,2,BASIC_HEALTH,3/1/2019,Jl. Jend. Sudirman No. 2-3 Klandasan,-1.276981,116.831976,081110678429,76112
AB03,KF.0136,2,BASIC_HEALTH,1/1/2003,Jl.MT. HARYONO RT.24,-1.267408,116.857572,081110678431,76114
AB04,KF.0158 Markoni,2,BASIC_HEALTH,1/1/2006,Jl. Jend. Sudirman RT 51 No. 33 Markoni,-1.27518,116.847881,081110678423,76113
AB05,KF.0270,2,BASIC_HEALTH,1/1/2004,"Jl. Sukarno Hatta KM 2,5 No. 2",-1.227222,116.840836,08115961921,76125
AB06,KF.0293,2,MEDICAL,1/1/2004,Jl. Jend. A. Yani No. 23-Karang Rejo,-1.246392,116.8326643,08115962032,76124
AB07,KF.0329,2,MEDICAL,1/1/2008,Jl. Soekarno Hatta KM 5 No. 86,-1.213002,116.85836,08115961987,76129
AB08,KF.0349,2,BASIC_HEALTH,1/1/2009,Jl. Komplek Balikpapan Baru Blok C 7-8,-1.238986,116.871103,08115962749,76114
AB09,KF.0379 Pasar Baru,2,BASIC_HEALTH,1/1/2010,Jl. Jend Sudirman No.20A Pasar Baru,-1.276723,116.839731,08115962062,76113
AB10,KF.0426 Guntur,2,BASIC_HEALTH,11/1/2012,Jl. DI Panjaitan No. 2 Gunung Guntur,-1.254035,116.843944,08115962059,76122
AB11,KF.0425 Sepinggan,2,BASIC_HEALTH,11/1/2012,Jl. M.R Iswahyudi No.702 Sepinggan,-1.257821,116.9077688,081110678369,76115
